Filename: ...

Position of PCB:
left under edge: X=0 / Y=0

name	X-axis	Y-axis	angle	value	package	side
D12	30.62	70.05	0	gsot24c	SOT23	top
D11	41.48	70.05	180	gsot24c	SOT23	top
DS9	16.10	71.75	180	redblue-dual	0805_split_led	top
DS8	55.90	71.75	180	redblue-dual	0805_split_led	top
DS7	36.05	54.60	0	redgreen-0805	0805_led	top
R35	52.00	70.90	0	10k	0603	top
R21	31.50	54.65	180	1k-1206	1206	top
R53	12.70	71.15	180	1k-1206	1206	top
R37	59.30	71.15	0	1k-1206	1206	top
J7	22.90	74.00	180	camcon2w-5mm	camcon_50_2	top
J6	49.10	74.00	180	camcon2w-5mm	camcon_50_2	top
C39	16.00	42.00	270	pcf1c221mcl1gs	NICHICON_CAP_10_10	top
C37	44.00	42.00	270	pcf1c221mcl1gs	NICHICON_CAP_10_10	top
Q2	36.33	50.36	0	n-irfh5301	PQFN56B	top
C32	37.00	46.45	0	100n-0603-50v	0603	top
C40	28.00	42.00	270	pcf1c221mcl1gs	NICHICON_CAP_10_10	top
C38	56.00	42.00	270	pcf1c221mcl1gs	NICHICON_CAP_10_10	top
C31	36.00	67.15	180	100n-0603-50v	0603	top
L11	36.00	61.10	270	20a-170r	CM3440Z171B	top
J5	36.00	74.00	180	camcon2w	camcon_75_2	top
U6	20.00	60.09	90	vnh5019	MultiPowerSO30	top
U5	52.00	60.09	90	vnh5019	MultiPowerSO30	top
D10	26.53	16.85	180	gsot05c	SOT23	top
J2	29.59	21.08	270	header2x4-std	header_254_8w	top
DS2	41.80	64.35	90	red-0805	0805_led	top
DS3	41.80	59.00	90	blue-0805	0805_led	top
DS4	30.20	64.35	90	red-0805	0805_led	top
DS5	30.20	59.00	90	blue-0805	0805_led	top
S1	56.90	28.40	180	button-ra	FSMRA2JH	top
R13	16.15	35.30	180	10k-0402	0402	top
R16	26.05	29.10	270	10k-0402	0402	top
C28	25.05	28.40	90	100n-0402-16v	0402	top
U4	17.90	28.10	180	stm32f100r6	LQFP64_10	top
J3	26.00	14.00	90	minicamcon4w	camcon_38_4	top
C35	25.80	48.95	0	100n-0603-50v	0603	top
C36	30.05	51.15	90	10u-1206-16v	1206	top
C33	57.80	48.95	0	100n-0603-50v	0603	top
C34	41.80	51.15	90	10u-1206-16v	1206	top
C48	24.00	70.90	0	100n-0603-50v	0603	top
R51	20.00	70.90	0	10k	0603	top
C44	48.00	70.90	0	100n-0603-50v	0603	top
D15	36.00	39.08	270	bat754a	SOT23	top
R58	34.50	46.70	0	10k-0402	0402	top
R59	37.00	41.25	0	10k-0402	0402	top
Q3	36.00	44.08	270	bc846b	SOT23	top
R60	35.00	41.25	0	10k-0402	0402	top
U3	54.85	20.50	270	ft232rq	QFN32_5_EP	top
C1	59.85	17.95	180	4u7-0805-10v	0805	top
C19	52.15	11.85	270	47n-0603-50v	0603	top
R9	52.15	14.35	90	1000k-0402	0402	top
C11	51.35	18.35	270	100n-0402-16v	0402	top
C7	59.10	22.95	0	100n-0402-16v	0402	top
C21	19.20	16.35	270	100n-0402-16v	0402	top
L6	18.20	16.35	90	200m-1k-0402	0402	top
F1	22.10	16.35	0	r50-1206	1206	top
D2	54.05	12.70	270	mmsz4689t1g	SOD123	top
D1	59.52	20.60	0	bat754c	SOT23	top
C13	35.70	10.85	0	100n-0402-16v	0402	top
C17	49.90	17.90	0	10n-0402-25v	0402	top
Q1	59.62	34.05	0	bc846b	SOT23	top
C26	57.45	34.15	90	470n-0603-25v	0603	top
