Filename: power-coords.txt

Position of PCB:
left under edge: X=0 / Y=0

name	X-axis	Y-axis	angle	value	package	side
C57	58.30	75.60	0	100n	0402	top
D16	49.60	88.80	180	pesd5z12	SOD523	top
C62	43.50	87.90	90	100n	0402	top
J17	47.50	86.27	270	header2x5-1.27mm	header_127_10w	top
C28	66.40	33.00	90	100n	0402	top
C42	28.10	48.70	180	10u	1206	top
C43	38.30	51.50	90	100n	0402	top
C36	55.70	48.70	0	10u	1206	top
R10	32.60	26.10	270	100	0402	top
C3	37.00	27.70	270	10u	1206	top
D2	48.90	21.40	270	pesd5z12	SOD523	top
C6	43.60	40.50	180	1u	0402	top
R5	50.30	21.50	270	10k	0402	top
D3	11.80	89.03	270	mmbz15val	SOT23	top
R2	49.10	27.30	180	1m	2512	top
R1	49.10	31.30	180	1m	2512	top
C2	68.90	17.50	270	ucw1e471mnl1gs	NICHICON_CAP_10_10	top
C1	34.20	13.20	90	100n	0603	top
D1	21.90	24.70	180	smaj15ca	DO214AC	top
C41	66.40	69.00	90	100n	0402	top
R38	64.70	72.50	270	1k	0805	top
C38	66.40	51.00	90	100n	0402	top
C33	18.60	33.00	270	100n	0402	top
F4	13.70	81.70	90	r1850	2920	top
F2	21.80	76.70	90	r125	1206	top
R20	38.10	78.90	270	150k	0402	top
D5	46.40	91.70	90	smaj5.0a	DO214AC	top
R53	51.50	88.60	270	10k	0402	top
U11	55.20	86.80	180	stf202	SOT26	top
J14	73.00	84.39	0	header6	header_254_1_6w	top
RN2	54.20	83.80	0	4k7	CAY10J4	top
RN3	45.20	62.10	270	10k	CAY10J4	top
RN1	38.80	62.10	270	10k	CAY10J4	top
D12	16.85	42.00	270	pesd5z12	SOD523	top
D11	16.80	60.00	270	pesd5z12	SOD523	top
D10	68.20	60.00	270	pesd5z12	SOD523	top
D9	68.20	42.00	270	pesd5z12	SOD523	top
D8	16.80	24.00	270	pesd5z12	SOD523	top
D7	69.20	24.60	180	pesd5z12	SOD523	top
R32	40.60	62.10	270	10k	0402	top
R25	43.40	62.10	270	10k	0402	top
C47	18.60	51.00	270	100n	0402	top
C44	18.60	69.00	270	100n	0402	top
R41	20.20	65.00	90	1k	0805	top
DS1	30.00	26.10	270	redgreen	0805_split_led	top
R64	43.50	86.00	90	10k	0402	top
Q4	60.18	88.50	0	bsh121	SOT323	top
R56	51.50	86.70	270	10k	0402	top
DS8	20.20	51.00	0	redgreen	0805_split_led	top
DS7	20.20	69.00	0	redgreen	0805_split_led	top
DS6	64.70	69.00	0	redgreen	0805_split_led	top
C37	46.70	59.50	270	100n	0402	top
C30	32.00	34.80	180	10u	1206	top
C32	38.30	37.50	90	100n	0402	top
C26	55.80	34.80	0	10u	1206	top
C27	46.70	45.50	270	100n	0402	top
U5	53.50	41.50	0	vnd5012	PowerSSO24	top
U8	31.50	55.50	180	vnd5012	PowerSSO24	top
U7	53.50	55.50	0	vnd5012	PowerSSO24	top
U6	31.50	41.50	180	vnd5012	PowerSSO24	top
J16	53.50	91.99	90	usb-micro-b	FCI_10103592	top
J7	31.00	91.00	180	minicamcon2w	camcon_38_2	top
J6	40.00	91.00	180	minicamcon2w	camcon_38_2	top
R21	64.70	36.50	270	1k	0805	top
J8	69.00	33.00	90	camcon2w	camcon_75_2	top
J15	67.00	91.00	180	minicamcon2w	camcon_38_2	top
J11	69.00	69.00	90	camcon2w	camcon_75_2	top
R35	64.70	54.50	270	1k	0805	top
J10	69.00	51.00	90	camcon2w	camcon_75_2	top
DS5	64.70	51.00	0	redgreen	0805_split_led	top
DS3	64.70	33.00	0	redgreen	0805_split_led	top
J9	16.00	33.00	270	camcon2w	camcon_75_2	top
R28	20.20	29.00	90	1k	0805	top
DS4	20.20	33.00	0	redgreen	0805_split_led	top
R46	20.20	47.00	90	1k	0805	top
J13	16.00	51.00	270	camcon2w	camcon_75_2	top
J12	16.00	69.00	270	camcon2w	camcon_75_2	top
Q1	42.50	13.90	180	irfh5301	PQFN56B	top
Q2	42.50	20.10	180	irfh5301	PQFN56B	top
DS2	32.30	87.70	270	green	0805_led	top
R19	33.80	88.50	90	200	0402	top
C21	41.00	88.60	0	22u	0805	top
C20	29.40	88.40	180	22u	0805	top
