Filename: ...

Position of PCB:
left under edge: X=0 / Y=0

name	X-axis	Y-axis	angle	value	package	side
R25	41.80	22.50	180	10k-0402	0402	top
R27	41.40	25.90	270	10k-0402	0402	top
R28	41.40	24.00	90	10k-0402	0402	top
R17	41.70	31.20	90	10k-0402	0402	top
C33	54.70	54.00	180	22u-1210-16v	1210	top
D8	49.00	54.00	180	smaj15ca	DO214AC	top
C34	56.80	61.90	90	100n-0603-50v	0603	top
C21	12.70	61.60	270	100n-0603-50v	0603	top
C35	52.70	51.30	180	1n5-0402-50v	0402	top
R24	44.40	46.70	0	10k-0402	0402	top
Q6	44.40	48.58	90	n-bsh121	SOT323	top
R22	54.60	51.30	0	10k-0402	0402	top
Q5	48.39	48.80	180	p-si7655adn	PowerPAK1212	top
Q4	55.11	48.80	0	p-si7655adn	PowerPAK1212	top
R23	59.10	53.20	270	10k-0402	0402	top
Q3	58.00	58.31	90	p-si7655adn	PowerPAK1212	top
R15	31.70	52.80	270	10k-0402	0402	top
R20	31.30	63.20	0	2k49-0402	0402	top
R16	31.30	61.80	180	330-0402	0402	top
C30	29.50	62.50	90	1n5-0402-50v	0402	top
U5	38.72	58.40	180	pvx012a0x3	PVX012A0X3	top
C22	11.30	51.80	270	1u-0402-10v	0402	top
C20	11.30	54.50	90	1u-0603-16v	0603	top
U4	14.23	53.50	0	mcp1703t5002emb	SOT89	top
U6	25.60	54.20	180	ina219	SOT28	top
J5	50.40	58.00	180	camcon2w-5mm	camcon_50_2	top
J4	21.00	58.00	180	camcon2w	camcon_75_2	top
S1	15.25	22.90	0	button-ra	FSMRA2JH	top
D6	20.40	54.00	180	smaj15ca	DO214AC	top
Q2	30.60	58.71	90	p-si7655adn	PowerPAK1212	top
U7	36.30	27.20	0	mcp23017ess	SSOP28	top
RN4	37.90	37.70	0	4-330-0402	CAY10J4	top
R33	48.20	51.30	180	390-0402	0402	top
D10	50.40	51.30	180	edz51v	SOD523	top
D9	58.60	55.00	0	edz51v	SOD523	top
D7	31.10	54.60	0	edz51v	SOD523	top
RN6	31.90	34.20	180	4-330-0402	CAY10J4	top
RN5	31.90	39.50	180	4-330-0402	CAY10J4	top
C37	31.20	27.70	90	1u-0402-10v	0402	top
C38	31.20	25.80	270	100n-0402-16v	0402	top
C29	35.50	43.20	0	47u-1206-6v3	1206	top
C28	35.50	45.50	0	47u-1206-6v3	1206	top
C27	35.50	47.80	0	47u-1206-6v3	1206	top
C26	35.50	50.10	0	47u-1206-6v3	1206	top
C25	40.40	46.50	180	22u-1210-16v	1210	top
C23	40.40	49.70	180	22u-1210-16v	1210	top
C24	40.40	43.30	180	22u-1210-16v	1210	top
C31	28.40	54.20	270	100n-0402-16v	0402	top
C42	51.80	31.30	0	22u-1210-16v	1210	top
D11	48.40	44.90	90	pesd5z12	SOD523	top
R30	59.00	44.90	270	390-0402	0402	top
DS16	56.40	44.90	180	green-0805	0805_led	top
C41	51.80	45.00	0	22u-1210-16v	1210	top
D13	41.33	34.40	180	mmbz15val	SOT23	top
D12	41.33	39.50	180	mmbz15val	SOT23	top
DS14	44.90	34.40	180	blue-0805	0805_led	top
DS13	44.90	36.90	180	blue-0805	0805_led	top
DS12	44.90	39.50	180	blue-0805	0805_led	top
DS11	44.90	42.00	180	blue-0805	0805_led	top
J6	50.50	38.19	180	header3x4-ra	header_254_3_12w	top
R18	30.80	48.80	180	3m-1210-1w	1210	top
